LSOA11 Code,Area,id_count,PointDen,HubDist,NUMPOINTS(,NUMPOINT_1,NUMPOINT_2
E01000001,1.298 ,2 ,1.541 ,142.163 ,6 ,36 ,105 
E01000002,2.284 ,,,300.088 ,5 ,37 ,103 
E01000003,0.591 ,,,214.322 ,5 ,30 ,104 
E01000005,1.896 ,4 ,2.110 ,63.980 ,8 ,29 ,82 
E01032739,16.536 ,24 ,1.451 ,89.027 ,10 ,34 ,116 
E01032740,6.373 ,8 ,1.255 ,115.854 ,13 ,31 ,111 
E01000027,14.745 ,,,394.848 ,1 ,1 ,6 
E01000028,1.438 ,,,444.017 ,1 ,1 ,5 
E01000029,2.569 ,,,479.298 ,1 ,2 ,6 
E01000030,2.863 ,1 ,0.349 ,133.705 ,1 ,1 ,8 
E01000031,8.435 ,,,540.699 ,0 ,3 ,12 
E01000032,3.755 ,1 ,0.266 ,314.984 ,2 ,2 ,12 
E01000110,1.945 ,,,904.860 ,0 ,3 ,11 
E01000111,2.966 ,,,338.947 ,1 ,4 ,14 
E01000112,2.775 ,,,357.426 ,2 ,3 ,14 
E01000113,1.539 ,1 ,0.650 ,157.968 ,2 ,5 ,13 
E01000034,5.136 ,,,1165.276 ,0 ,0 ,6 
E01000037,2.334 ,,,377.134 ,1 ,2 ,17 
E01000038,2.140 ,1 ,0.467 ,269.865 ,1 ,1 ,16 
E01000039,15.318 ,,,726.336 ,0 ,1 ,12 
E01000063,1.812 ,,,303.827 ,2 ,4 ,12 
E01000100,2.115 ,,,629.224 ,0 ,5 ,13 
E01000101,1.639 ,,,292.189 ,2 ,4 ,13 
E01000109,3.753 ,1 ,0.266 ,393.679 ,2 ,4 ,12 
E01000114,2.562 ,1 ,0.390 ,296.064 ,2 ,3 ,13 
E01000033,1.453 ,,,800.914 ,0 ,1 ,10 
E01000060,5.499 ,1 ,0.182 ,379.079 ,1 ,4 ,11 
E01000061,6.105 ,,,314.407 ,2 ,3 ,10 
E01000062,2.213 ,,,233.956 ,1 ,4 ,10 
E01000064,2.088 ,1 ,0.479 ,386.703 ,1 ,2 ,10 
E01000065,2.336 ,,,220.663 ,1 ,3 ,12 
E01000078,1.758 ,,,701.073 ,0 ,2 ,14 
E01000080,2.313 ,,,1049.283 ,0 ,0 ,13 
E01000081,1.858 ,,,562.331 ,0 ,1 ,13 
E01000082,1.607 ,1 ,0.622 ,294.272 ,1 ,3 ,15 
E01000083,1.799 ,,,503.428 ,0 ,2 ,18 
E01000102,2.528 ,,,246.047 ,1 ,2 ,15 
E01000021,1.693 ,,,331.720 ,1 ,4 ,14 
E01000022,1.283 ,,,596.436 ,0 ,3 ,12 
E01000023,2.072 ,1 ,0.483 ,76.087 ,1 ,1 ,11 
E01000024,1.286 ,,,535.099 ,0 ,2 ,10 
E01000025,1.534 ,,,441.355 ,1 ,2 ,10 
E01000077,1.738 ,,,979.466 ,0 ,2 ,12 
E01000015,2.806 ,,,506.073 ,0 ,5 ,11 
E01000016,1.988 ,,,264.206 ,1 ,5 ,11 
E01000017,1.584 ,,,601.114 ,0 ,5 ,11 
E01000018,1.738 ,,,561.495 ,0 ,4 ,12 
E01000079,3.096 ,,,821.228 ,0 ,5 ,13 
E01000035,3.971 ,,,588.645 ,0 ,2 ,9 
E01000036,4.187 ,,,322.808 ,1 ,2 ,8 
E01000107,5.360 ,,,656.632 ,0 ,1 ,8 
E01000108,2.421 ,1 ,0.413 ,104.583 ,1 ,1 ,8 
E01000066,2.449 ,,,757.140 ,0 ,3 ,8 
E01000067,1.925 ,,,458.436 ,1 ,1 ,11 
E01000069,2.005 ,,,443.709 ,1 ,1 ,10 
E01000070,3.918 ,1 ,0.255 ,277.609 ,1 ,2 ,11 
E01000071,2.706 ,,,731.404 ,0 ,2 ,10 
E01000057,1.477 ,1 ,0.677 ,176.600 ,1 ,3 ,11 
E01000073,2.846 ,,,538.766 ,0 ,2 ,9 
E01000074,1.642 ,,,716.978 ,0 ,3 ,10 
E01000075,5.174 ,,,311.130 ,1 ,2 ,13 
E01000076,1.907 ,,,430.446 ,1 ,2 ,9 
E01000013,2.078 ,2 ,0.962 ,175.907 ,3 ,3 ,11 
E01000014,3.412 ,,,443.374 ,3 ,3 ,12 
E01000059,2.083 ,,,718.619 ,0 ,7 ,11 
E01000084,1.500 ,,,240.775 ,3 ,5 ,11 
E01000085,1.453 ,,,395.280 ,3 ,5 ,10 
E01000086,1.401 ,,,528.287 ,0 ,6 ,10 
E01000103,7.013 ,,,829.704 ,0 ,1 ,9 
E01000104,2.202 ,,,483.247 ,1 ,1 ,9 
E01000105,2.209 ,1 ,0.453 ,365.440 ,3 ,4 ,10 
E01000106,2.194 ,,,540.846 ,0 ,4 ,9 
E01000007,2.000 ,,,378.573 ,4 ,6 ,12 
E01000008,1.951 ,,,501.139 ,0 ,6 ,17 
E01000010,3.521 ,4 ,1.136 ,79.441 ,5 ,6 ,16 
E01000012,1.390 ,,,677.863 ,0 ,6 ,17 
E01000006,1.466 ,,,400.785 ,1 ,6 ,9 
E01000009,1.279 ,1 ,0.782 ,91.556 ,2 ,6 ,8 
E01000011,0.917 ,,,355.117 ,1 ,5 ,13 
E01000044,1.706 ,,,661.759 ,0 ,5 ,9 
E01000068,3.397 ,,,605.827 ,0 ,5 ,9 
E01000041,1.526 ,,,383.278 ,1 ,4 ,6 
E01000042,2.312 ,,,455.075 ,1 ,2 ,12 
E01000045,2.983 ,1 ,0.335 ,674.966 ,0 ,3 ,7 
E01000046,1.555 ,,,633.109 ,0 ,3 ,9 
E01000072,5.202 ,1 ,0.192 ,112.334 ,1 ,2 ,6 
E01000054,1.712 ,,,406.098 ,1 ,2 ,10 
E01000055,1.460 ,,,416.824 ,1 ,2 ,10 
E01000056,2.436 ,,,627.908 ,0 ,5 ,9 
E01000058,1.822 ,,,553.444 ,0 ,4 ,11 
E01000095,22.947 ,4 ,0.174 ,370.793 ,1 ,2 ,11 
E01000040,1.707 ,,,701.177 ,0 ,1 ,11 
E01000043,2.664 ,,,501.713 ,0 ,1 ,11 
E01000050,1.377 ,,,324.237 ,2 ,5 ,10 
E01000052,1.997 ,,,856.956 ,0 ,2 ,11 
E01000092,26.448 ,1 ,0.038 ,889.563 ,0 ,2 ,11 
E01000053,1.809 ,,,230.754 ,3 ,3 ,9 
E01000087,3.725 ,,,355.915 ,2 ,4 ,9 
E01000088,2.264 ,,,632.493 ,0 ,3 ,7 
E01000089,1.455 ,,,928.745 ,0 ,1 ,7 
E01000090,19.551 ,,,900.102 ,0 ,1 ,7 
E01000048,0.647 ,,,505.011 ,0 ,5 ,13 
E01000049,2.122 ,,,654.042 ,0 ,4 ,13 
E01000051,0.667 ,,,219.481 ,3 ,6 ,12 
E01033587,2.658 ,1 ,0.376 ,457.705 ,1 ,6 ,17 
E01033588,1.395 ,,,538.625 ,0 ,5 ,17 
E01000091,2.462 ,,,690.658 ,0 ,2 ,5 
E01000093,2.938 ,,,576.058 ,0 ,1 ,10 
E01000094,6.028 ,,,745.956 ,0 ,2 ,6 
E01000096,6.024 ,,,908.132 ,0 ,3 ,6 
E01000248,2.708 ,1 ,0.369 ,221.058 ,3 ,4 ,7 
E01000249,8.129 ,,,571.889 ,0 ,4 ,6 
E01000250,5.815 ,3 ,0.516 ,197.500 ,4 ,4 ,8 
E01000254,15.268 ,,,381.476 ,2 ,4 ,7 
E01000292,2.879 ,1 ,0.347 ,404.308 ,1 ,5 ,7 
E01000293,2.736 ,,,474.522 ,2 ,7 ,8 
E01000167,6.019 ,,,628.893 ,0 ,2 ,9 
E01000246,10.764 ,,,741.384 ,0 ,3 ,11 
E01000247,2.656 ,,,799.620 ,0 ,2 ,11 
E01000251,2.231 ,,,487.502 ,1 ,4 ,12 
E01000252,2.349 ,,,367.300 ,2 ,3 ,12 
E01000166,3.697 ,,,1008.439 ,0 ,5 ,7 
E01000168,3.139 ,,,450.547 ,1 ,6 ,8 
E01000169,2.385 ,,,495.793 ,2 ,4 ,10 
E01000172,5.438 ,,,557.220 ,0 ,5 ,12 
E01000285,2.021 ,,,476.456 ,1 ,1 ,7 
E01000287,2.734 ,,,805.331 ,0 ,1 ,7 
E01000288,3.370 ,,,313.895 ,2 ,2 ,13 
E01000289,2.812 ,,,493.578 ,1 ,4 ,9 
E01000291,2.497 ,,,201.957 ,1 ,2 ,7 
E01000294,3.311 ,,,713.055 ,0 ,5 ,7 
E01000267,2.795 ,,,754.405 ,0 ,5 ,13 
E01000268,2.525 ,2 ,0.792 ,552.527 ,0 ,4 ,13 
E01000269,2.716 ,,,448.449 ,1 ,2 ,13 
E01000270,2.520 ,,,541.447 ,0 ,6 ,14 
E01000170,2.965 ,2 ,0.675 ,131.263 ,3 ,4 ,11 
E01000171,3.330 ,1 ,0.300 ,234.315 ,2 ,4 ,11 
E01000173,3.657 ,,,460.664 ,2 ,4 ,12 
E01000174,1.885 ,1 ,0.531 ,180.762 ,2 ,4 ,14 
E01000175,5.008 ,,,638.020 ,0 ,4 ,13 
E01000228,28.864 ,,,1311.101 ,0 ,0 ,8 
E01000253,33.169 ,,,1822.236 ,0 ,0 ,3 
E01000279,50.430 ,,,1489.921 ,0 ,0 ,6 
E01000280,10.161 ,,,669.605 ,0 ,3 ,9 
E01000286,2.692 ,,,1100.353 ,0 ,0 ,5 
E01000290,20.471 ,,,1505.582 ,0 ,0 ,5 
E01000271,3.422 ,1 ,0.292 ,437.280 ,1 ,2 ,11 
E01000272,4.697 ,,,553.012 ,0 ,3 ,11 
E01000273,3.293 ,,,331.689 ,3 ,4 ,10 
E01000281,2.690 ,2 ,0.743 ,135.235 ,2 ,4 ,12 
E01000282,5.287 ,,,413.296 ,2 ,3 ,10 
E01000115,2.740 ,,,502.644 ,0 ,3 ,11 
E01000116,2.452 ,1 ,0.408 ,306.944 ,1 ,1 ,11 
E01000119,3.974 ,,,479.075 ,2 ,4 ,9 
E01000120,2.451 ,,,226.068 ,1 ,3 ,10 
E01000122,2.361 ,,,732.176 ,0 ,2 ,9 
E01000117,3.312 ,,,811.637 ,0 ,2 ,11 
E01000118,2.855 ,,,579.547 ,0 ,2 ,15 
E01000121,3.761 ,,,604.560 ,0 ,2 ,12 
E01000123,5.273 ,,,538.391 ,0 ,3 ,12 
E01000124,2.558 ,2 ,0.782 ,159.390 ,2 ,4 ,11 
E01000265,2.108 ,,,281.831 ,1 ,1 ,15 
E01000266,6.423 ,,,345.990 ,1 ,2 ,15 
E01000274,2.672 ,1 ,0.374 ,218.973 ,1 ,2 ,14 
E01000320,2.333 ,,,346.384 ,1 ,5 ,12 
E01000322,2.046 ,1 ,0.489 ,488.650 ,3 ,7 ,14 
E01000275,3.311 ,,,757.150 ,0 ,2 ,10 
E01000277,1.850 ,,,483.348 ,1 ,5 ,12 
E01000283,3.304 ,,,1186.741 ,0 ,0 ,8 
E01000284,2.760 ,,,392.573 ,1 ,3 ,11 
E01000321,1.751 ,,,243.069 ,2 ,6 ,11 
E01000195,3.152 ,1 ,0.317 ,440.613 ,2 ,2 ,5 
E01000229,2.800 ,,,407.558 ,1 ,3 ,14 
E01000230,2.714 ,,,336.407 ,1 ,4 ,12 
E01000231,3.650 ,,,861.276 ,0 ,3 ,12 
E01000232,2.984 ,,,302.387 ,1 ,2 ,14 
E01000233,2.647 ,1 ,0.378 ,272.260 ,1 ,4 ,14 
E01000186,2.549 ,,,497.002 ,0 ,2 ,9 
E01000187,2.157 ,1 ,0.464 ,153.762 ,1 ,2 ,9 
E01000188,31.892 ,1 ,0.031 ,646.896 ,0 ,2 ,9 
E01000189,1.621 ,,,255.563 ,1 ,1 ,11 
E01000190,2.482 ,,,592.883 ,0 ,3 ,11 
E01000191,2.543 ,,,515.478 ,0 ,6 ,10 
E01000158,2.704 ,,,558.853 ,0 ,4 ,14 
E01000159,4.934 ,,,652.212 ,0 ,4 ,16 
E01000160,3.025 ,,,242.834 ,2 ,7 ,11 
E01000161,2.425 ,,,319.022 ,2 ,5 ,13 
E01000162,1.823 ,2 ,1.097 ,75.438 ,2 ,4 ,14 
E01000324,2.714 ,,,342.543 ,2 ,7 ,15 
E01000256,5.619 ,,,876.292 ,0 ,2 ,11 
E01000258,7.981 ,2 ,0.251 ,68.839 ,5 ,5 ,6 
